max_wait_seconds,n_replications,avg_quote,expected_conversion_rate,simulated_conversion_rate,shared_rate_given_conversion,avg_wait_time,revenue,cost,profit,profit_per_request,profit_per_converted_rider,matched_pairs,BASE_PRICE,EMPTY_QUEUE_BUMP,MAX_CANDIDATES,BASE_MIN_SAVING_RATIO,BASE_MIN_ABSOLUTE_SAVING,LARGE_QUEUE_THRESHOLD,,Profit(value),value_flag
60,1,0.681715982,0.370768432,0.372836783,0.601592719,30.83572241,10184.66422,8930.243242,1254.420982,0.106415082,0.285420019,1322,0.7,0,10,0.1,0.28,6,,1254.420982,FALSE
120,1,0.680940957,0.372571335,0.375805904,0.725959368,47.02392777,10309.38586,8825.820902,1483.564962,0.125853831,0.334890511,1608,0.7,0,10,0.1,0.28,6,,1483.564962,FALSE
15,1,0.686448252,0.362381293,0.365541228,0.301229984,11.5230912,10018.97413,9349.085946,669.89,0.056827976,0.155462563,649,0.7,0,10,0.1,0.28,8,,669.8881834,FALSE
60,1,0.681436376,0.371348981,0.373685103,0.59568672,31.17253121,10200.76999,8927.461621,1273.308373,0.108017337,0.28905979,1312,0.7,0,10,0.1,0.28,8,,1273.308373,FALSE
120,1,0.680895148,0.372578298,0.375975568,0.721119134,47.46367329,10318.29262,8834.151149,1484.141467,0.125902737,0.334869465,1598,0.7,0,10,0.1,0.28,8,,1484.141467,FALSE
15,1,0.68644944,0.362371213,0.365456396,0.300835655,11.52669452,10010.98334,9340.190309,670.7930351,0.056904737,0.15570869,648,0.7,0,10,0.1,0.35,6,,670.7930351,FALSE
60,1,0.68166186,0.370887966,0.373091279,0.598908595,30.96657572,10193.10037,8934.702855,1258.397517,0.106752419,0.286129495,1317,0.7,0,10,0.1,0.35,6,,1258.397517,FALSE
120,1,0.680851714,0.372859993,0.376314897,0.720919748,47.6345807,10340.06818,8852.001117,1488.067064,0.126235754,0.335452449,1599,0.7,0,10,0.1,0.35,6,,1488.067064,FALSE
15,1,0.686436546,0.36238638,0.365456396,0.299442897,11.54317549,10010.9011,9341.44226,669.4588447,0.056791555,0.155398989,645,0.7,0,10,0.1,0.35,8,,669.4588447,FALSE
60,1,0.681413811,0.371401211,0.373854768,0.594508736,31.23439982,10208.60986,8933.110484,1275.499378,0.108203205,0.289425772,1310,0.7,0,10,0.1,0.35,8,,1275.499378,FALSE
